Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
1153.72,52.53,39.0,6.59,518,2,2021,45.94,7.051613169323963,1,2.90879976429701
1169.12,189.57,263.05,15.93,1490,2,2021,173.64,7.064861586635028,1,0.3940961083143124
4633.38,3.78,2.67,3.66,26,1,2021,0.11999999999999966,8.441257704219849,0,-6.105237928135265
299.99,0.89,0.26,0.37,315,1,2021,0.52,5.707077041605631,1,4.10060820954159
540.54,176.85,620.86,29.33,288,12,2020,147.51999999999998,6.294416932595607,1,1.33698703809082
810.0,86.64,354.11,68.15,60,12,2020,18.489999999999995,6.698268054115413,1,3.2301904794620695
6479.55,6.4,0.51,0.24,1500,11,2020,6.16,8.77656066228772,1,1.8046741959291568
517.6,3.91,0.22,2.08,33,11,2020,1.83,6.251132873104564,0,-1.910652345495989
2159.88,3.34,0.93,2.32,554,10,2020,1.02,7.678270825117754,0,6.075993460728557
61.2,21.99,1.54,23.71,120,10,2020,-1.7200000000000024,4.130354999745133,0,0.15390672716424358
443.69,89.71,678.88,35.63,145,10,2020,54.07999999999999,6.097377410193878,1,6.075993460728557
600.0,3.07,0.11,1.83,306,10,2020,1.2399999999999998,6.398594934535208,0,3.3372711008162526
2242.11,73.18,111.85,5.55,1230,10,2020,67.63000000000001,7.715618574780042,1,2.360660370965295
318.0,113.54,449.14,41.21,340,10,2020,72.33000000000001,5.765191102784844,1,2.360660370965295
600.0,89.76,192.81,12.67,350,9,2020,77.09,6.398594934535208,1,-1.7354865629844785
702.02,77.43,351.46,70.94,166,9,2020,6.490000000000009,6.555385340908119,1,1.7561532236784583
15000.0,1.9,0.63,0.47,12,7,2020,1.43,9.61587214452889,0,3.6485235243085556
496.25,85.26,239.83,7.23,425,7,2020,78.03,6.209092917734082,1,5.732823073918936
10340.8,57.18,45.23,2.5,755,3,2020,54.68,9.24394921414995,0,-18.252596296995826
500.0,3.54,1.21,1.89,178,12,2019,1.6500000000000001,6.2166061010848646,0,0.27982488172164643
745.95,110.72,473.0,49.09,37,12,2019,61.629999999999995,6.615998248488326,1,-0.18676018625863877
409.68,62.18,164.68,44.53,195,12,2019,17.65,6.017814322430764,1,-0.2530266461331365
60.0,1.0,1.76,0.64,60,10,2019,0.36,4.110873864173311,0,1.0102510578707813
637.97,108.79,354.52,14.94,320,10,2019,93.85000000000001,6.459857504918618,1,-0.16505426416831837
2849.64,1.02,0.89,0.3,780,8,2019,0.72,7.955298809456067,0,1.4877251163004868
1189.85,3.11,0.55,0.09,856,8,2019,3.02,7.082422616839232,0,0.9649979734204006
459.0,55.31,198.69,10.96,745,8,2019,44.35,6.131226489483141,1,-0.4776570394090629
475.59,14.92,15.78,3.03,973,7,2019,11.89,6.166656582488999,1,1.2741104501693634
132.35,30.49,113.88,16.06,215,5,2019,14.43,4.892977250628023,1,-2.4253089222622926
1345.26,92.44,110.42,4.65,538,4,2019,87.78999999999999,7.205085656483865,1,1.0389226191039214
1204.29,8.88,3.03,2.21,880,4,2019,6.670000000000001,7.094475480870259,0,0.7962546074754329
477.11,1.36,0.8,2.93,19,4,2019,-1.57,6.169840831539652,0,-0.9946043613821454
4750.0,2.15,3.09,0.0,300,4,2019,2.15,8.46611040118692,0,1.1857895613056169
211.04,0.29,1.71,2.18,120,3,2019,-1.8900000000000001,5.3567749361196055,0,1.1857895613056169
1641.18,4.66,1.1,0.03,280,2,2019,4.63,7.403779906415969,0,3.9165635987210345
23.0,1.24,7.69,2.64,66,2,2019,-1.4000000000000001,3.1780538303479458,0,0.5755884572683057
1640.32,2.77,0.26,0.25,821,10,2018,2.52,7.40325607512639,0,-6.384682303552469
343.59,1.81,0.31,0.24,118,10,2018,1.57,5.842355304520125,0,-4.303121806814591
466.94,12.29,4.92,10.07,475,9,2018,2.219999999999999,6.148340082570462,0,-3.089398640333163
1131.19,5.52,0.98,0.88,422,8,2018,4.64,7.031909089201781,0,1.3408285576796963
2800.33,192.26,195.15,6.73,1100,8,2018,185.53,7.937849583386506,1,1.968244862515811
1125.13,13.47,5.08,0.67,716,7,2018,12.8,7.026542254966188,0,3.307902713619426
1954.96,9.16,2.45,0.95,967,7,2018,8.21,7.57863640048791,0,0.9487976862807113
600.17,12.86,21.01,1.62,783,7,2018,11.239999999999998,6.398877756434162,0,-0.7801790108561857
460.51,71.72,194.56,15.74,185,7,2018,55.98,6.134503722180521,0,-0.7801790108561857
1844.0,16.08,6.91,1.48,572,5,2018,14.599999999999998,7.520234556474628,0,-1.8648689458577783
1038.68,3.89,0.12,0.12,56,4,2018,3.77,6.946668252480736,0,1.916696152972075
3514.85,1.04,0.36,0.88,520,4,2018,0.16000000000000003,8.165036595778973,0,0.1349552942484955
435.02,1.96,0.13,0.72,90,4,2018,1.24,6.0776881138566,0,0.1349552942484955
512.48,14.49,6.39,1.42,332,4,2018,13.07,6.2412110802167255,0,0.8637611173711646
4113.13,1.73,0.03,0.39,1215,3,2018,1.3399999999999999,8.322182669130278,0,0.1926858886247107
77.4,1.55,3.44,2.01,180,4,2018,-0.45999999999999974,4.361823927356363,0,0.8637611173711646
4473.02,38.67,13.89,1.2,375,3,2018,37.47,8.40604261231277,1,-0.1078944358693823
